epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,1313.59,0.72768,0.43219,0.8015,0.78188,0.92176,0.94005,0.7343,0.70319,0.5207,0.77732,5.348e-05,5.348e-05,5.348e-05
76,1330.74,0.73323,0.42736,0.79866,0.80179,0.92319,0.96252,0.74605,0.72546,0.56442,0.78185,5.15e-05,5.15e-05,5.15e-05
77,1349.25,0.71082,0.42346,0.80041,0.76502,0.93692,0.96124,0.74544,0.70798,0.51921,0.77948,4.952e-05,4.952e-05,4.952e-05
78,1366.08,0.70838,0.42145,0.80026,0.802,0.91083,0.96455,0.73587,0.7517,0.5243,0.78338,4.754e-05,4.754e-05,4.754e-05
79,1382.95,0.70494,0.41874,0.80395,0.85826,0.8559,0.96242,0.74771,0.72675,0.5113,0.78197,4.556e-05,4.556e-05,4.556e-05
80,1400.65,0.68598,0.40544,0.80247,0.75832,0.95641,0.95776,0.75794,0.71046,0.51541,0.78026,4.358e-05,4.358e-05,4.358e-05
81,1418.47,0.70187,0.41968,0.79541,0.85409,0.85416,0.95689,0.73647,0.71232,0.51077,0.77911,4.16e-05,4.16e-05,4.16e-05
82,1435.32,0.69207,0.40776,0.79924,0.86306,0.85087,0.9591,0.75245,0.67767,0.53236,0.77625,3.962e-05,3.962e-05,3.962e-05
83,1452.26,0.68456,0.39737,0.80143,0.73698,0.95099,0.95743,0.74029,0.74302,0.54092,0.78324,3.764e-05,3.764e-05,3.764e-05
84,1469.06,0.67356,0.39662,0.79508,0.80171,0.94265,0.95945,0.74066,0.72515,0.54992,0.77972,3.566e-05,3.566e-05,3.566e-05
85,1485.9,0.68324,0.40116,0.7964,0.80504,0.94417,0.95962,0.73636,0.78138,0.54113,0.786,3.368e-05,3.368e-05,3.368e-05
86,1502.79,0.66231,0.39072,0.79839,0.79718,0.94619,0.97369,0.7537,0.76262,0.5321,0.7828,3.17e-05,3.17e-05,3.17e-05
87,1519.56,0.66381,0.38931,0.79768,0.83313,0.89972,0.96097,0.75165,0.7093,0.5298,0.77813,2.972e-05,2.972e-05,2.972e-05
88,1536.44,0.66026,0.38829,0.79942,0.80658,0.94494,0.97687,0.776,0.72214,0.53047,0.77994,2.774e-05,2.774e-05,2.774e-05
