               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  54,              1.5951,               1.396,              1.1026,             0.66717,             0.82802,             0.89456,             0.59016,                   0,                   0,                   0,            0.004753,            0.004753,            0.004753
                  55,              1.5825,               1.362,              1.1002,             0.74103,             0.79783,             0.85924,             0.59719,                   0,                   0,                   0,            0.004654,            0.004654,            0.004654
                  56,              1.5886,              1.3645,              1.0872,             0.63515,             0.82154,             0.83764,             0.61141,                   0,                   0,                   0,            0.004555,            0.004555,            0.004555
                  57,               1.613,              1.4285,              1.0938,             0.77132,             0.79264,             0.89099,             0.63683,                   0,                   0,                   0,            0.004456,            0.004456,            0.004456
                  58,              1.5807,              1.3842,               1.094,             0.73598,             0.81042,             0.89525,             0.62599,                   0,                   0,                   0,            0.004357,            0.004357,            0.004357
                  59,              1.5576,               1.341,              1.0941,             0.71336,             0.81099,             0.87002,              0.6114,                   0,                   0,                   0,            0.004258,            0.004258,            0.004258
                  60,              1.5333,              1.3458,               1.095,             0.73723,             0.79728,              0.8754,             0.57089,                   0,                   0,                   0,            0.004159,            0.004159,            0.004159
                  61,                1.57,              1.3342,              1.0889,             0.79731,             0.78489,               0.895,              0.5865,                   0,                   0,                   0,             0.00406,             0.00406,             0.00406
                  62,               1.528,              1.2753,              1.0891,             0.64964,             0.84777,             0.85149,             0.60053,                   0,                   0,                   0,            0.003961,            0.003961,            0.003961
                  63,              1.5424,               1.298,              1.0857,             0.62451,             0.84462,             0.85147,             0.56581,                   0,                   0,                   0,            0.003862,            0.003862,            0.003862
                  64,              1.5128,              1.2506,              1.0809,             0.71318,             0.78502,             0.86531,             0.62811,                   0,                   0,                   0,            0.003763,            0.003763,            0.003763
                  65,              1.5269,              1.2586,              1.0819,             0.76963,             0.82013,              0.9053,             0.63898,                   0,                   0,                   0,            0.003664,            0.003664,            0.003664
                  66,              1.4701,              1.2301,              1.0735,             0.69937,             0.84672,             0.89604,             0.63493,                   0,                   0,                   0,            0.003565,            0.003565,            0.003565
                  67,              1.4705,              1.1906,              1.0774,             0.71481,             0.83854,             0.89866,             0.67552,                   0,                   0,                   0,            0.003466,            0.003466,            0.003466
                  68,              1.4816,              1.2199,              1.0811,             0.74116,              0.8481,             0.91593,             0.65431,                   0,                   0,                   0,            0.003367,            0.003367,            0.003367
                  69,              1.4674,              1.2014,              1.0818,              0.7097,             0.86566,             0.91251,             0.68267,                   0,                   0,                   0,            0.003268,            0.003268,            0.003268
                  70,              1.4665,              1.2065,              1.0785,             0.72074,             0.89837,             0.90836,             0.68549,                   0,                   0,                   0,            0.003169,            0.003169,            0.003169
                  71,              1.4402,              1.1601,              1.0768,             0.68275,             0.83299,             0.88582,             0.63412,                   0,                   0,                   0,             0.00307,             0.00307,             0.00307
                  72,              1.4251,              1.1387,              1.0718,             0.67649,             0.87522,              0.8988,             0.66671,                   0,                   0,                   0,            0.002971,            0.002971,            0.002971
                  73,               1.422,              1.1109,              1.0707,             0.75613,             0.82306,             0.88108,             0.65115,                   0,                   0,                   0,            0.002872,            0.002872,            0.002872
                  74,              1.4466,              1.1424,              1.0718,             0.73741,             0.83529,             0.89795,             0.65572,                   0,                   0,                   0,            0.002773,            0.002773,            0.002773
                  75,              1.4176,              1.0992,              1.0759,             0.77477,             0.82566,             0.90412,             0.64752,                   0,                   0,                   0,            0.002674,            0.002674,            0.002674
                  76,              1.4146,              1.1374,              1.0769,             0.76769,             0.86607,             0.91718,             0.65069,                   0,                   0,                   0,            0.002575,            0.002575,            0.002575
                  77,              1.3883,              1.0885,              1.0573,             0.72904,             0.88739,             0.90029,             0.64401,                   0,                   0,                   0,            0.002476,            0.002476,            0.002476
                  78,              1.3829,              1.0944,              1.0656,             0.78538,             0.81381,             0.91548,             0.66964,                   0,                   0,                   0,            0.002377,            0.002377,            0.002377
                  79,              1.3854,              1.0924,              1.0695,             0.81754,             0.78482,             0.93286,             0.69876,                   0,                   0,                   0,            0.002278,            0.002278,            0.002278
                  80,              1.3844,              1.0747,              1.0606,             0.78018,             0.82554,             0.89675,             0.67376,                   0,                   0,                   0,            0.002179,            0.002179,            0.002179
                  81,              1.3716,              1.0708,              1.0693,             0.85064,             0.82084,             0.91708,             0.66819,                   0,                   0,                   0,             0.00208,             0.00208,             0.00208
                  82,              1.3535,              1.0183,              1.0586,             0.84109,             0.82442,             0.91074,             0.68518,                   0,                   0,                   0,            0.001981,            0.001981,            0.001981
                  83,              1.3671,              1.0644,              1.0597,             0.76187,              0.8677,             0.92364,             0.66161,                   0,                   0,                   0,            0.001882,            0.001882,            0.001882
                  84,              1.3755,              1.0542,              1.0653,             0.79553,             0.88117,             0.92316,             0.69445,                   0,                   0,                   0,            0.001783,            0.001783,            0.001783
                  85,              1.3386,              1.0206,              1.0577,             0.78559,             0.83849,             0.93516,             0.70076,                   0,                   0,                   0,            0.001684,            0.001684,            0.001684
                  86,              1.3611,              1.0751,              1.0575,             0.76992,             0.85949,             0.93964,             0.70187,                   0,                   0,                   0,            0.001585,            0.001585,            0.001585
